"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310812012010","Commercial","Multi < 7","5,445","6,126","5,279","4,650","4,960","11,596","9,427","8,681","7,004","5,649","6,318","6,423","81,558","4","0","501","546","312","157","111","89","73","95","71","82","113","295","2,445","Less than 4","5,304","5,304","81,558",,"81,558","81,558","81,558","81,558","81,558","5,304",,"5,304","5,304","5,304","5,304","5,304","2,445",,"2,445","2,445","2,445","2,445","2,445","5,304",,"5,304","5,304","5,304","5,304","5,304","8","1","3","119","1","1","1","1","1","1"
"Near North Side","170310812013000","Commercial","Commercial","423,281","403,903","407,072","379,031","453,945","560,151","589,315","590,150","443,325","404,101","459,719","593,636","5,707,629","60","15","68,686","55,367","43,087","25,865","19,949","14,421","13,928","12,989","12,639","17,766","34,076","64,161","382,934","41","311,485","277,027","380,508.6","760,868.22","14,679","84,473","141,539","207,127","3,043,740","23,960.38","54,829.90","3,769","5,800","6,000","13,200","205,697","29,456.46","61,533.43","968","2,147","3,439","9,476","177,764","25,184.27","59,963.44","3,769","5,000","5,900","13,200","205,697","724","572","4.79","84.14","1.45","499","0.8724","236","0.473","499"
"Near North Side","170310812013000","Commercial","Multi 7+","30,356","22,970","24,387","20,898","21,357","27,502","28,442","27,167","16,736","15,009","24,141","33,692","292,657","17","3","8,436","7,071","5,947","3,405","2,130","795","418","372","377","389","1,885","5,410","36,635","8","71,603","71,603","146,328.5","149,849.36","40,369","40,369","146,328.5","252,288","252,288","35,801.5","20,670.85","21,185","21,185","35,801.5","50,418","50,418","12,211.67","14,527.16","2,304","2,304","5,443","28,888","28,888","35,801.5","20,670.85","21,185","21,185","35,801.5","50,418","50,418","724","572","5","104.5","1.45","499","0.8724","236","0.473","499"
"Near North Side","170310812013000","Commercial","Multi < 7","27,144","23,984","26,102","26,975","32,898","41,266","45,686","43,255","36,170","30,344","31,073","30,822","395,719","17","8","3,862","4,034","2,787","1,685","1,043","461","540","369","519","419","996","3,033","19,748","13","9,092","10,592","98,929.75","50,589.15","56,678","58,373","88,090.5","139,486.5","162,860","3,030.67","1,152.39","1,700","1,700","3,696","3,696","3,696","3,949.6","3,060.34","924","1,027","3,692","6,581","7,524","2,648","1,212.88","1,500","1,600","2,698","3,696","3,696","724","572","3","64.5","1.45","499","0.8724","236","0.473","499"
"Near North Side","170310812013000","Residential","Multi 7+","6,977","3,616","3,889","4,358","4,352","5,033","6,110","6,087","3,672","3,662","3,880","4,346","55,982","7","1","71,105","56,495","44,517","22,453","13,662","6,650","6,241","6,338","7,629","18,060","36,518","64,445","354,113","9","12,475","472,635","55,982",,"55,982","55,982","55,982","55,982","55,982","12,475",,"12,475","12,475","12,475","12,475","12,475","118,037.7","105,468.93","4,799","4,799","135,844","213,470","213,470","157,545","145,443.93","12,475","12,475","156,800","303,360","303,360","724","572","16","83","1.45","499","0.8724","236","0.473","499"
"Near North Side","170310812013001","Commercial","Commercial","301,374","251,974","299,262","347,274","411,012","499,400","525,564","517,726","436,410","367,787","350,924","357,188","4,665,895","257","35","59,541","47,837","33,655","21,032","17,955","13,783","10,939","11,568","12,492","16,787","29,339","52,525","327,453","Less than 4","731,033","731,033","4,665,895",,"4,665,895","4,665,895","4,665,895","4,665,895","4,665,895","731,033",,"731,033","731,033","731,033","731,033","731,033","327,453",,"327,453","327,453","327,453","327,453","327,453","731,033",,"731,033","731,033","731,033","731,033","731,033","77","53","55","0","1.83","42","0.7925","8","0.19","42"
"Near North Side","170310812013001","Residential","Multi < 7","25,947","19,040","16,168","26,492","24,383","32,990","31,665","31,659","27,015","28,650","38,037","42,174","344,220","26","3","8,947","8,764","5,803","3,363","1,946","1,158","824","919","736","944","2,362","6,360","42,126","24","69,019","69,019","18,116.84","16,687.62","1,907","5,944","12,134","23,852","67,721","4,059.94","1,016.93","2,850","3,504","3,870","4,174","6,993","2,217.16","674.34","1,165","1,722","2,125","2,619","3,761","4,059.94","1,016.93","2,850","3,504","3,870","4,174","6,993","77","53","3.06","120.06","1.83","42","0.7925","8","0.19","42"
"Near North Side","170310812021009","Commercial","Commercial","32,871","32,229","36,707","30,377","36,090","49,887","57,812","52,927","38,872","30,062","38,947","43,799","480,580","24","3","15,960","13,980","10,979","2,530","4,665","856","895","738","1,007","3,628","7,693","14,667","77,598","25","114,570","114,570","480,580",,"480,580","480,580","480,580","480,580","480,580","114,570",,"114,570","114,570","114,570","114,570","114,570","77,598",,"77,598","77,598","77,598","77,598","77,598","114,570",,"114,570","114,570","114,570","114,570","114,570","2","0","9","97","0","0",,"0",,"0"
"Near North Side","170310812021010","Commercial","Commercial","740,062","804,731","753,213","762,198","972,832","1,027,351","1,246,830","1,125,791","989,497","889,511","881,490","882,904","11,076,410","62","6","126,948","107,394","87,912","54,404","46,283","32,249","28,648","28,227","30,395","43,677","73,251","125,645","785,033","37","953,084","894,127","1,846,068","3,376,800.81","50,753","81,963","259,770","1,821,980","8,602,174","238,271","393,079.32","18,004","29,478.5","53,977.5","447,063.5","827,125","157,006.6","269,184.56","13,980","20,290","54,490","59,067","637,206","447,063.5","537,488.13","67,002","67,002","447,063.5","827,125","827,125","556","381","6.25","21.5","1.77","314","0.824","18","0.057","314"
"Near North Side","170310812021010","Commercial","Multi 7+","786,428","696,449","549,507","438,178","561,166","596,789","720,074","710,817","494,441","478,100","661,079","921,770","7,614,798","216","13","78,576","65,552","46,537","26,791","15,588","12,452","7,686","6,834","8,626","19,045","39,600","73,181","400,468","114","1,446,696","1,786,912","1,269,133","1,375,626.83","280,514","357,277","559,584","2,181,823","3,676,016","241,116","231,100.80","88,868","95,332","130,968.5","321,527","679,032","57,209.71","40,693.78","3,644","42,892","43,863","94,649","127,438","255,273.1","214,264.53","88,868","95,332","138,186","340,216","679,032","556","381","18.14","79","1.77","314","0.824","18","0.057","314"
"Near North Side","170310812021010","Residential","Multi 7+","78,340","137,275","73,665","57,536","69,551","99,289","117,910","125,857","78,852","73,755","98,874","115,990","1,126,894","30","0","16,560","14,367","9,459","4,696","3,166","1,180","898","1,267","1,266","2,693","6,410","14,299","76,261","34","159,850","159,850","1,126,894",,"1,126,894","1,126,894","1,126,894","1,126,894","1,126,894","159,850",,"159,850","159,850","159,850","159,850","159,850","76,261",,"76,261","76,261","76,261","76,261","76,261","159,850",,"159,850","159,850","159,850","159,850","159,850","556","381","12","88","1.77","314","0.824","18","0.057","314"
"Near North Side","170310815003010","Commercial","Commercial","5,513,083","4,651,770","3,792,897","3,272,428","3,633,384","6,318,260","7,252,946","7,061,403","5,636,644","3,502,098","4,124,685","6,412,124","61,171,722","19","11",,,,,,,,,,,,,,,"1,747,362",,"61,171,722",,"61,171,722","61,171,722","61,171,722","61,171,722","61,171,722","1,747,362",,"1,747,362","1,747,362","1,747,362","1,747,362","1,747,362",,,,,,,,,,,,,,,"0","0","52","37","0","0",,"0",,"0"
"Near North Side","170310812022000","Commercial","Commercial","849,300","622,769","578,040","485,627","511,677","578,773","619,660","570,454","544,651","483,011","738,311","1,058,807","7,641,080","290","23","67,275","54,754","42,612","26,591","24,064","13,148","9,200","9,084","10,747","17,080","47,775","51,367","373,697","5","1,200,062","1,202,462","1,910,270","2,336,665.19","126,600","145,680","1,219,437.5","3,674,860","5,075,605","300,015.5","341,162.27","3,662","5,081","288,347.5","594,950","619,705","74,739.4","90,970.07","3,639","8,739","60,147","73,215","227,957","240,492.4","324,050.56","2,400","3,662","6,500","570,195","619,705","645","476","21.8","57.2","1.6","403","0.8466","63","0.156","403"
"Near North Side","170310813005001","Residential","Multi 7+","14,884","17,183","13,353","8,173","7,360","8,568","10,455","10,672","17,512","14,039","27,676","53,781","203,656","80","60","25,454","21,444","16,909","9,739","4,190","3,713","2,417","2,393","2,970","6,053","13,231","23,399","131,912","42","58,811","196,144","203,656",,"203,656","203,656","203,656","203,656","203,656","58,811",,"58,811","58,811","58,811","58,811","58,811","43,970.67","59,169.75","1,510","1,510","18,845","111,557","111,557","98,072","55,523.44","58,811","58,811","98,072","137,333","137,333","238","192","15","82","1.31","182","0.9479","130","0.714","182"
"Near North Side","170310812022000","Commercial","Multi < 7","16,434","14,500","16,976","20,205","23,141","26,352","28,502","26,886","20,165","17,974","19,339","20,733","251,207","17","15","3,713","4,142","3,029","2,477","1,871","1,290","1,095","1,847","1,219","1,283","1,762","3,160","26,888","Less than 4","25,999","25,999","83,735.67","85,934.92","25,248","25,248","43,559","182,400","182,400","8,666.33","6,219.74","4,920","4,920","5,233","15,846","15,846","8,962.67","5,516.31","3,871","3,871","8,194","14,823","14,823","8,666.33","6,219.74","4,920","4,920","5,233","15,846","15,846","645","476","3.33","115","1.6","403","0.8466","63","0.156","403"
"Near North Side","170310812022000","Residential","Multi < 7","6,439","9,221","8,351","6,874","7,328","8,294","9,430","8,592","5,888","4,767","6,868","13,501","95,553","5","0","2,506","2,295","1,539","890","526","222","186","190","148","139","439","1,782","10,862","4","19,691","19,691","23,888.25","24,250.16","5,239","6,536.5","16,196.5","41,240","57,921","4,922.75","1,724.61","3,228","3,470","4,830.5","6,375.5","6,802","2,715.5","459.25","2,044","2,443","2,868.5","2,988","3,081","4,922.75","1,724.61","3,228","3,470","4,830.5","6,375.5","6,802","645","476","3","112.75","1.6","403","0.8466","63","0.156","403"
"Near North Side","170310812023001","Commercial","Multi 7+","3,614","4,023","3,659","3,464","7,206","5,471","6,460","7,038","5,899","4,685","4,492","5,255","61,266","19","15","7,900","6,726","5,125","2,831","2,151","1,684","1,605","1,575","1,519","1,881","3,514","7,191","43,702","9","24,667","24,667","15,316.5","5,350.42","8,254","11,292","16,261.5","19,341","20,489","12,333.5","2,356.79","10,667","10,667","12,333.5","14,000","14,000","10,925.5","10,636.38","1,687","3,169.5","8,232","18,681.5","25,551","12,333.5","2,356.79","10,667","10,667","12,333.5","14,000","14,000","226","196","3.5","124","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310812022001","Commercial","Commercial","82,958","80,761","83,011","91,982","114,352","124,783","132,023","126,898","110,584","93,027","104,849","108,827","1,254,055","123","28","28,017","23,728","19,874","13,713","10,707","5,580","5,072","5,176","5,419","11,399","16,704","27,358","172,747","4","184,384","187,584","313,513.8","313,010.23","30,528","118,793","231,809","508,234.5","759,909","61,461.33","97,619.46","2,735","2,735","7,500","174,149","174,149","43,186.75","49,145.17","2,209","3,478.5","33,007.5","82,895","104,523","46,896","84,862.45","2,735","2,967.5","5,350","90,824.5","174,149","175","173","5.75","41.75","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022001","Commercial","Multi 7+","12,940","13,754","12,212","19,950","19,826","21,528","26,499","35,796","21,157","14,218","16,471","21,347","235,698","42","10","8,261","7,317","5,511","2,823","2,323","575","637","682","696","1,249","3,133","6,113","39,320","17","63,928","63,928","33,671.14","32,835.96","4,141","14,268","16,637","52,238","98,709","15,982","7,386.66","8,590","10,463.5","14,831.5","21,500.5","25,675","9,830","3,918.65","6,726","6,766","8,818.5","12,894","14,957","15,982","7,386.66","8,590","10,463.5","14,831.5","21,500.5","25,675","175","173","4","111.5","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022001","Commercial","Multi < 7","1,126","1,048","1,187","1,138","1,225","1,877","1,886","2,676","1,596","1,968","3,019","4,806","23,552","4","1","719","471","536","138","227","11","164","8","175","28","216","335","3,028","5","4,920","4,920","23,552",,"23,552","23,552","23,552","23,552","23,552","4,920",,"4,920","4,920","4,920","4,920","4,920","3,028",,"3,028","3,028","3,028","3,028","3,028","4,920",,"4,920","4,920","4,920","4,920","4,920","175","173","3","127","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022001","Residential","Multi 7+","10,076","11,321","9,540","10,002","12,409","13,379","20,998","20,846","9,584","7,844","14,041","21,047","161,087","17","19","2,637","2,155","1,460","986","663","579","525","582","534","595","696","1,710","13,122","4","17,931","17,931","40,271.75","19,215.99","24,972","28,693.5","33,887.5","51,850","68,340","4,482.75","625.81","3,610","4,047.5","4,636","4,918","5,049","3,280.5","3,879.08","983","1,026.5","1,541","5,534.5","9,057","4,482.75","625.81","3,610","4,047.5","4,636","4,918","5,049","175","173","3.25","96","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022001","Residential","Multi < 7","480","1,320","1,200","3,780","4,560","4,800","6,332","5,630","7,074","6,174","6,174","8,213","55,737","Less than 4","6","1,762","1,322","1,232","333","137","216","183","200","154","162","253","790","6,744","Less than 4","9,252","9,252","27,868.5","16,930.26","15,897","15,897","27,868.5","39,840","39,840","4,626","1,417.04","3,624","3,624","4,626","5,628","5,628","3,372","2,668.62","1,485","1,485","3,372","5,259","5,259","4,626","1,417.04","3,624","3,624","4,626","5,628","5,628","175","173","2","0","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022001","Residential","Single Family","2,455","7,038","8,919","4,942","6,078","10,698","10,750","9,809","7,428","5,462","6,194","9,822","89,595","Less than 4","3","1,843","1,856","1,192","656","444","216","153","162","131","160","400","1,161","8,374","Less than 4","8,840","8,840","29,865","1,577.44","28,617","28,617","29,340","31,638","31,638","2,946.67","1,450.34","1,281","1,281","3,629","3,930","3,930","2,791.33","737.67","1,961","1,961","3,042","3,371","3,371","2,946.67","1,450.34","1,281","1,281","3,629","3,930","3,930","175","173","1","0","1.3","135","0.7803","48","0.356","135"
"Near North Side","170310812022002","Commercial","Multi 7+","54,789","60,635","55,257","61,430","81,510","89,993","119,103","122,512","108,667","73,891","74,459","80,936","983,182","44","5","22,909","22,607","16,884","9,881","7,692","1,890","1,283","1,128","1,130","1,328","8,493","18,066","113,291","34","190,228","190,228","983,182",,"983,182","983,182","983,182","983,182","983,182","190,228",,"190,228","190,228","190,228","190,228","190,228","113,291",,"113,291","113,291","113,291","113,291","113,291","190,228",,"190,228","190,228","190,228","190,228","190,228","0","0","19","85","0","0",,"0",,"0"
"Near North Side","170310812023000","Commercial","Commercial","150,945","130,549","115,348","116,226","129,473","118,609","264,242","257,103","144,702","130,363","140,585","140,926","1,839,071","16","3","41,302","33,477","24,631","14,080","8,999","3,542","3,467","3,372","3,662","12,230","20,525","36,654","205,941","17","324,989","324,989","367,814.2","776,664.96","15,577","17,112","21,233","28,021","1,757,128","108,329.7","181,920.19","3,263","3,263","3,333","318,393","318,393","41,188.2","87,084.85","1,708","2,059","2,200","3,006","196,968","108,329.7","181,920.19","3,263","3,263","3,333","318,393","318,393","632","565","8.67","17.33","1.31","483","0.8549","248","0.513","483"
"Near North Side","170310812023000","Commercial","Multi 7+","23,979","36,834","35,967","38,585","41,917","52,081","70,248","77,833","70,514","40,229","43,777","52,631","584,595","120","19","29,468","24,893","18,922","9,577","6,866","3,342","2,216","2,154","3,367","6,509","16,546","28,408","152,268","Less than 4","322,248","322,248","292,297.5","112,002.18","213,100","213,100","292,297.5","371,495","371,495","161,124","147,831.99","56,591","56,591","161,124","265,657","265,657","76,134","56,046.70","36,503","36,503","76,134","115,765","115,765","161,124","147,831.99","56,591","56,591","161,124","265,657","265,657","632","565","15.5","70","1.31","483","0.8549","248","0.513","483"
"Near North Side","170310812023000","Commercial","Multi < 7","1,740","3,833","3,491","2,106","4,485","7,156","4,806","4,074","6,039","4,536","3,930","4,629","50,825","7","4","1,480","1,484","1,051","619","365","262","115","139","109","202","461","1,187","7,474","9","13,326","13,326","25,412.5","12,155.87","16,817","16,817","25,412.5","34,008","34,008","6,663","2,334.87","5,012","5,012","6,663","8,314","8,314","3,737","2,715.29","1,817","1,817","3,737","5,657","5,657","6,663","2,334.87","5,012","5,012","6,663","8,314","8,314","632","565","3.5","114","1.31","483","0.8549","248","0.513","483"
"Near North Side","170310812023000","Residential","Multi < 7","34,949","34,055","22,390","12,844","15,873","16,646","24,918","26,710","20,538","17,138","32,743","54,080","312,884","13","12","3,896","3,881","2,473","1,541","858","405","255","330","255","374","1,130","2,951","18,349","9","41,699","41,699","52,147.33","70,457.94","11,400","17,983","28,365","31,672","195,099","6,949.83","5,260.09","3,501","4,196","5,003","6,540","17,456","3,058.17","1,966.34","503","1,763","3,089.5","3,551","6,353","6,949.83","5,260.09","3,501","4,196","5,003","6,540","17,456","632","565","3.33","110.67","1.31","483","0.8549","248","0.513","483"
"Near North Side","170310812023000","Residential","Single Family","36,523","30,804","26,113","21,163","33,692","37,268","41,876","42,355","32,490","30,666","38,365","47,732","419,047","10","0","6,141","4,598","5,050","1,629","2,154","1,433","1,498","1,579","1,466","1,985","2,272","4,085","33,890","8","22,594","19,605","52,380.88","64,299.18","5,908","18,529","27,828.5","57,972","204,480","3,765.67","985.48","2,937","2,989","3,410","4,366","5,482","4,841.43","7,935.97","1,171","1,253","2,040","2,599","22,796","3,921","1,016.36","2,937","3,352","3,468","4,366","5,482","632","565","1","0","1.31","483","0.8549","248","0.513","483"
"Near North Side","170310812023001","Commercial","Commercial","24,983","19,507","19,795","18,402","23,461","35,018","38,542","36,795","27,157","22,204","27,873","30,970","324,707","9","16","1,910","3,574","1,876","1,224","750","642","611","638","565","605","863","2,116","15,374","6","20,629","7,029","64,941.4","41,819.61","18,340","35,112","54,093","106,642","110,520","6,876.33","5,823.10","3,462","3,462","3,567","13,600","13,600","3,843.5","1,861.67","1,190","2,563","4,437.5","5,124","5,309","3,514.5","74.25","3,462","3,462","3,514.5","3,567","3,567","226","196","1.33","7.33","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310812023001","Commercial","Multi < 7","23,588","25,662","25,305","25,041","33,414","39,151","42,393","48,829","40,105","31,041","35,479","44,382","414,390","36","15","3,710","3,501","2,333","1,248","738","483","434","449","379","461","858","2,816","17,410","17","37,755","31,922","46,043.33","52,072.80","8,731","15,388","37,644","42,883","177,840","4,719.38","2,505.67","1,100","3,047.5","4,904","5,767.5","9,217","2,901.67","595.62","1,696","3,016","3,127","3,211","3,233","5,320.33","2,395.06","2,088","4,007","5,092.5","6,425","9,217","226","196","3.25","119.63","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310816002001","Residential","Multi < 7","0","126","690","866","1,172","1,136","1,013","1,121","776","604","827","869","9,200","Less than 4","3","544","541","385","227","110","20","17","19","17","43","108","361","2,392","4","3,894","3,894","9,200",,"9,200","9,200","9,200","9,200","9,200","3,894",,"3,894","3,894","3,894","3,894","3,894","2,392",,"2,392","2,392","2,392","2,392","2,392","3,894",,"3,894","3,894","3,894","3,894","3,894","4","4","3","109","2","2","0.5","2","1","2"
"Near North Side","170310812023001","Residential","Multi 7+","135,159","156,683","127,472","65,823","70,863","91,082","103,444","103,911","76,385","65,266","165,444","253,758","1,415,290","89","9","1,949","4,888","4,093","2,788","2,259","1,801","1,619","1,592","1,514","2,213","3,364","5,005","33,085","Less than 4","211,795","211,795","1,415,290",,"1,415,290","1,415,290","1,415,290","1,415,290","1,415,290","211,795",,"211,795","211,795","211,795","211,795","211,795","33,085",,"33,085","33,085","33,085","33,085","33,085","211,795",,"211,795","211,795","211,795","211,795","211,795","226","196","19","36","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310812023001","Residential","Multi < 7","46,437","42,379","34,991","22,673","28,230","37,333","38,369","42,114","33,384","18,367","27,901","30,723","402,901","14","6","5,580","5,467","3,729","1,824","1,026","469","356","344","284","411","1,390","5,055","25,935","13","34,513","34,513","50,362.63","76,621.49","13,266","18,174.5","23,662","33,414","239,134","4,314.13","633.61","3,526","3,999.5","4,170.5","4,491.5","5,664","3,241.88","697.69","2,146","2,747.5","3,348","3,777.5","4,043","4,314.13","633.61","3,526","3,999.5","4,170.5","4,491.5","5,664","226","196","3","103.13","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310812023001","Residential","Single Family","9,770","7,601","8,910","8,737","11,908","14,511","15,272","16,228","13,322","7,168","8,707","7,774","129,908","Less than 4","2","863","847","527","281","132","68","61","55","44","40","118","596","3,632","Less than 4","3,316","3,316","64,954","90,153.29","1,206","1,206","64,954","128,702","128,702","1,658","777.82","1,108","1,108","1,658","2,208","2,208","1,816","140.01","1,717","1,717","1,816","1,915","1,915","1,658","777.82","1,108","1,108","1,658","2,208","2,208","226","196","1","0","1.6","141","0.7193","63","0.447","141"
"Near North Side","170310812024000","Commercial","Commercial","49,340","46,945","43,632","61,629","79,170","97,974","91,000","69,384","58,412","33,771","38,773","63,042","733,072","Less than 4","0","21,554","18,271","14,017","8,511","5,859","3,324","3,029","3,011","3,644","7,761","12,401","19,965","121,347","Less than 4","124,342","124,342","366,536","187,009.94","234,300","234,300","366,536","498,772","498,772","62,171","85,299.71","1,855","1,855","62,171","122,487","122,487","60,673.5","49,983.26","25,330","25,330","60,673.5","96,017","96,017","62,171","85,299.71","1,855","1,855","62,171","122,487","122,487","759","494","9.5","62","1.82","417","0.8441","63","0.151","417"
"Near North Side","170310812024000","Commercial","Multi 7+","164,490","161,234","153,566","154,506","189,682","229,069","259,811","258,139","215,761","164,618","188,422","234,054","2,373,352","162","24","44,431","36,590","28,861","16,908","10,020","4,800","4,524","4,639","4,832","13,085","23,670","41,972","234,332","57","444,165","444,165","215,759.3","233,146.71","21,308","25,317","85,654","406,499","683,226","63,452.14","83,297.75","4,379","4,795","24,807","96,005","232,386","23,433.2","27,895.64","1,045","1,616","10,425.5","47,364","76,127","63,452.14","83,297.75","4,379","4,795","24,807","96,005","232,386","759","494","8.86","72.71","1.82","417","0.8441","63","0.151","417"
"Near North Side","170310812024000","Residential","Multi < 7","222,015","198,698","208,657","199,566","246,749","253,224","240,986","259,771","240,114","203,059","244,185","251,097","2,768,121","45","17","16,831","17,324","11,372","7,471","3,986","2,537","1,628","1,551","1,374","2,070","5,143","13,363","84,650","38","98,533","102,009","102,523","415,379.39","1,874","10,490","18,702","29,640","2,177,988","3,789.73","1,137.96","1,892","2,833","3,691.5","4,263","7,141","3,023.21","3,522.91","804","1,311.5","2,373.5","3,054","18,180","3,778.11","1,117.50","1,892","2,833","3,685","4,263","7,141","759","494","2.96","109.78","1.82","417","0.8441","63","0.151","417"
"Near North Side","170310813001000","Commercial","Commercial","32,802","33,467","35,241","33,920","39,014","47,494","43,826","40,021","41,794","35,979","38,225","36,671","458,454","Less than 4","1","23,362","20,913","17,705","10,863","9,332","7,172","7,351","7,246","6,608","10,332","17,478","26,986","165,348","5","13,382","13,382","458,454",,"458,454","458,454","458,454","458,454","458,454","13,382",,"13,382","13,382","13,382","13,382","13,382","165,348",,"165,348","165,348","165,348","165,348","165,348","13,382",,"13,382","13,382","13,382","13,382","13,382","251","219","1","0","1.34","187","0.8539","151","0.807","187"
"Near North Side","170310813006001","Commercial","Commercial","987,137","888,283","782,535","772,006","797,435","782,768","755,151","798,245","724,341","769,782","1,032,060","1,142,928","10,232,671","32","23","75,272","70,755","55,932","44,426","47,077","44,900","46,131","45,689","42,316","48,201","61,138","85,601","667,438","5","230,200",,"5,116,336","6,597,917.92","450,903","450,903","5,116,335.5","9,781,768","9,781,768","230,200",,"230,200","230,200","230,200","230,200","230,200","667,438",,"667,438","667,438","667,438","667,438","667,438",,,,,,,,"273","243","74","34","1.58","173","0.7119","12","0.069","173"
"Near North Side","170310813001000","Commercial","Multi 7+","87,029","79,938","78,711","81,791","108,185","141,207","163,680","153,113","117,186","87,888","101,491","114,912","1,315,131","155","45","41,693","34,085","27,029","14,942","8,894","3,320","3,241","3,052","3,650","12,031","24,957","41,166","218,060","6","256,815","256,815","657,565.5","295,223.45","448,811","448,811","657,565.5","866,320","866,320","128,407.5","37,495.75","101,894","101,894","128,407.5","154,921","154,921","109,030","56,118.82","69,348","69,348","109,030","148,712","148,712","128,407.5","37,495.75","101,894","101,894","128,407.5","154,921","154,921","251","219","21","64","1.34","187","0.8539","151","0.807","187"
"Near North Side","170310813001001","Commercial","Multi 7+","307,956","360,562","282,392","214,463","219,550","288,852","308,881","280,445","240,968","216,992","355,390","513,068","3,589,519","301","59","6,155","6,262","3,676","2,058","897","132",,,,"945","1,290","6,474","27,889","Less than 4","867,239","358,393","1,794,760","1,015,833.14","1,076,457","1,076,457","1,794,759.5","2,513,062","2,513,062","433,619.5","106,386.34","358,393","358,393","433,619.5","508,846","508,846","27,889",,"27,889","27,889","27,889","27,889","27,889","358,393",,"358,393","358,393","358,393","358,393","358,393","521","419","24","45","1.54","338","0.8067","125","0.37","338"
"Near North Side","170310818002007","Residential","Single Family","9,288","8,732","7,771","7,969","10,577","15,429","15,291","17,496","11,657","12,570","11,594","15,029","143,403","16","6","1,762","1,427","897","352","90","41","31","31","29","37","165","847","5,709","19","2,159","2,159","143,403",,"143,403","143,403","143,403","143,403","143,403","2,159",,"2,159","2,159","2,159","2,159","2,159","5,709",,"5,709","5,709","5,709","5,709","5,709","2,159",,"2,159","2,159","2,159","2,159","2,159","27","19","1","0","1.5","18","0.9473","9","0.5","18"
"Near North Side","170310813003000","Commercial","Commercial","1,641,687","1,717,097","1,797,564","1,914,032","2,167,195","2,572,507","2,470,448","2,246,706","2,009,513","1,892,213","1,864,010","2,041,919","24,334,891","91","21","157,544","129,105","105,936","79,249","66,119","53,289","51,448","51,050","55,790","72,031","102,616","162,171","1,086,348","5","2,190,777","2,121,307","6,083,723","2,641,967.99","3,132,656","3,983,688","6,028,238.5","8,183,757.5","9,145,758","547,694.3","444,249.51","69,470","233,060.5","495,992.5","862,328","1,129,322","362,116","132,148.83","277,723","277,723","294,214","514,411","514,411","707,102.3","378,907.40","396,651","396,651","595,334","1,129,322","1,129,322","117","103","25.75","45","1.75","67","0.6505","6","0.09","67"
