"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310802012001","Residential","Multi < 7","4,293","5,130","4,869","5,307","5,613","6,165","6,606","10,491","11,434","9,928","13,613","12,302","95,751","13","3","3,527","3,535","2,462","1,428","997","219","145","147","136","384","1,224","2,815","17,019","6","19,478","19,478","23,937.75","5,869.50","15,306","20,511","26,016","27,364.5","28,413","4,869.5","1,429.41","3,600","3,957.5","4,484","5,781.5","6,910","4,254.75","1,500.31","2,796","3,287","3,938.5","5,222.5","6,346","4,869.5","1,429.41","3,600","3,957.5","4,484","5,781.5","6,910","110","110","3","117.75","1.31","84","0.7636","45","0.536","84"
"Near North Side","170310802012002","Commercial","Multi 7+","96,861","82,523","59,869","53,806","75,108","102,212","109,697","119,132","78,668","61,566","68,910","105,003","1,013,355","67","1","9,179","7,227","4,924","1,987","1,203","767","808","735","769","1,316","3,697","8,241","40,853","21","229,928","229,928","506,677.5","584,991.56","93,026","93,026","506,677.5","920,329","920,329","114,964","127,173.15","25,039","25,039","114,964","204,889","204,889","20,426.5","16,025.16","9,095","9,095","20,426.5","31,758","31,758","114,964","127,173.15","25,039","25,039","114,964","204,889","204,889","183","128","15.5","73.5","1.55","118","0.9218","51","0.432","118"
"Near North Side","170310802012002","Residential","Multi 7+","4,585","16,619","20,609","3,565","6,299","11,300","9,992","12,858","10,971","8,826","15,780","29,577","150,981","27","38","1,959","1,903","1,511","1,223","881","690","624","568","524","667","936","1,719","13,205","5","26,294","26,294","75,490.5","7,546.95","70,154","70,154","75,490.5","80,827","80,827","13,147","11,057.74","5,328","5,328","13,147","20,966","20,966","6,602.5","2,553.36","4,797","4,797","6,602.5","8,408","8,408","13,147","11,057.74","5,328","5,328","13,147","20,966","20,966","183","128","3.5","101.5","1.55","118","0.9218","51","0.432","118"
"Near North Side","170310802012002","Residential","Multi < 7","16,898","13,103","12,292","9,023","16,042","28,621","30,285","29,155","13,296","11,659","26,651","20,330","227,355","9","1","4,516","4,514","3,025","1,779","1,154","479","411","450","426","550","1,404","3,563","22,271","8","28,096","35,563","37,892.5","14,877.66","23,641","29,796","34,556.5","38,448","66,357","4,682.67","2,199.67","2,390","3,150","3,843","7,403","7,467","3,181.57","1,215.25","1,023","2,371","3,220","4,329","4,399","5,080.43","2,267.08","2,390","3,150","3,954","7,467","7,467","183","128","2.57","79.43","1.55","118","0.9218","51","0.432","118"
"Near North Side","170310802012004","Commercial","Commercial","85,842","88,164","101,556","92,044","109,646","129,256","141,703","143,964","103,108","108,704","104,641","119,930","1,328,558","108","17","4,488","4,600","4,621","6,480","4,720","4,609","4,052","4,627","3,842","4,609","4,847","6,880","58,375","17","203,784","164,684","102,196.8","160,623.32","3,208","12,832","21,505","70,417","513,865","40,756.8","47,073.59","7,450","8,287","20,352","48,000","119,695","5,306.82","7,829.24","507","1,002","1,343","7,234","21,014","32,936.8","48,786.06","7,450","8,287","8,900","20,352","119,695","0","0","2.67","3.33","0","0",,"0",,"0"
"Near North Side","170310802012005","Commercial","Commercial","315,888","247,918","257,312","184,064","257,128","271,374","268,596","299,604","241,216","244,732","312,816","352,682","3,253,330","948","108","210,884","154,618","116,426","58,344","37,120","22,042","19,684","19,456","25,072","41,728","98,010","193,718","997,102","4","713,302","713,302","1,626,665","0.00","1,626,665","1,626,665","1,626,665","1,626,665","1,626,665","356,651","443,422.42","43,104","43,104","356,651","670,198","670,198","498,551","0.00","498,551","498,551","498,551","498,551","498,551","356,651","443,422.42","43,104","43,104","356,651","670,198","670,198","634","515","22","20.5","1.31","484","0.9398","127","0.262","484"
"Near North Side","170310802013000","Commercial","Multi 7+","257,061","209,763","166,153","166,806","217,735","288,682","272,154","269,717","239,848","166,549","252,201","360,040","2,866,709","124","4","24,533","19,243","12,868","5,347","3,958","4,163","3,070","3,019","3,350","5,802","12,039","21,030","118,422","Less than 4","559,990","559,990","1,433,355","251,132.51","1,255,777","1,255,777","1,433,354.5","1,610,932","1,610,932","279,995","24,444.68","262,710","262,710","279,995","297,280","297,280","59,211","18,364.98","46,225","46,225","59,211","72,197","72,197","279,995","24,444.68","262,710","262,710","279,995","297,280","297,280","310","225","23.5","77.5","1.59","195","0.8667","26","0.133","195"
"Near North Side","170310802013001","Commercial","Multi 7+","2,625","2,039","1,307","1,110","1,059","1,298","1,661","1,532","1,034","1,712","3,143","5,726","24,246","11","16",,,,,,,,,,,,,,,"35,601",,"12,123","14,200.12","2,082","2,082","12,123","22,164","22,164","17,800.5","6,380.22","13,289","13,289","17,800.5","22,312","22,312",,,,,,,,,,,,,,,"212","161","4","114.5","1.56","136","0.8447","59","0.434","136"
"Near North Side","170310802013001","Residential","Multi 7+","281,112","239,867","151,552","88,672","92,745","132,472","133,427","130,107","98,127","92,459","243,407","372,166","2,056,113","120","15","5,070","5,172","3,979","3,173","2,841","2,340","2,544","2,165","2,804","2,581","2,558","4,590","39,817","28","172,725","172,725","411,222.6","845,497.69","30,284","30,968","34,872","36,301","1,923,688","43,181.25","61,522.27","5,663","9,631","15,965.5","76,731.5","135,131","7,963.4","7,763.42","2,240","2,553","5,084","8,946","20,994","43,181.25","61,522.27","5,663","9,631","15,965.5","76,731.5","135,131","212","161","9.25","76","1.56","136","0.8447","59","0.434","136"
"Near North Side","170310802013001","Residential","Multi < 7","7,549","6,914","6,741","5,808","5,712","7,052","13,841","13,829","16,427","15,607","18,365","18,197","136,042","11","2","3,996","3,942","2,778","1,640","988","507","348","399","334","648","1,378","3,094","20,052","12","25,148","29,051","27,208.4","16,988.99","14,397","14,600","15,418","45,606","46,021","5,029.6","1,329.15","3,957","4,062","4,631","5,288","7,210","3,342","1,492.77","1,692","1,791","3,294","4,555","5,426","4,841.83","1,274.69","3,903","3,957","4,346.5","5,288","7,210","212","161","2.5","97.5","1.56","136","0.8447","59","0.434","136"
